id,created_at,shade_key,product_key,shade_name,shade_hex,shade_order,color_family,skin_tone,undertone
008560c0-c8de-4289-9d67-0f076874c126,2026-01-25 12:24:27.124663+00,sh_fnd_estee_double_wear_02,fnd_estee_double_wear,Ivory,#F3D7C4,2,Nude,Fair,Neutral
018497ca-eb61-4817-ad77-77bbbb8d3d30,2026-01-25 12:24:27.124663+00,sh_hgl_fenty_killah_watt_03,hgl_fenty_killah_watt,Rose Gold,#E3A8A1,3,Pink,All,Warm
0221455f-9db4-4182-b05b-966c71512489,2026-01-25 12:24:27.124663+00,sh_fnd_maybelline_fitme_matte_05,fnd_maybelline_fitme_matte,Deep Tan,#8A533B,5,Brown,Deep,Warm
025840c7-6c53-4ed6-95e3-a0f81066c08a,2026-01-25 12:24:27.124663+00,sh_hgl_elf_halo_glow_04,hgl_elf_halo_glow,Copper Glow,#B87333,4,Bronze,All,Warm
032fb241-a2ce-4257-bf4c-49c0ea99fd6b,2026-01-25 12:24:27.124663+00,sh_blu_essence_the_blush_02,blu_essence_the_blush,Berry,#7A1E3A,2,Berry,All,Cool
033df678-971c-4de3-85ae-8b152e7a64a6,2026-01-25 12:24:27.124663+00,sh_eln_nyx_epic_ink_04,eln_nyx_epic_ink,Plum,#4A1F3A,4,Purple,All,Cool
049eff68-ce32-4347-b980-78f7d8024976,2026-01-25 12:24:27.124663+00,sh_gloss_nyx_butter_gloss_06,gloss_nyx_butter_gloss,Caramel Shine,#D9A17A,6,Brown,All,Warm
0524a7ea-7e18-49ed-bc44-578288b4d3fa,2026-01-25 12:24:27.124663+00,sh_gloss_maybelline_lifter_07,gloss_maybelline_lifter,Caramel Shine,#D9A17A,7,Brown,All,Warm
067cb72f-6243-4485-9632-6e8ef74f4053,2026-01-25 12:24:27.124663+00,sh_lsh_duo_lash_adhesive_02,lsh_duo_lash_adhesive,Volume,#000000,2,Black,All,Neutral
06f0061a-0243-477e-bdc7-eeca7940c665,2026-01-25 12:24:27.124663+00,sh_gloss_elf_lip_lacquer_06,gloss_elf_lip_lacquer,Caramel Shine,#D9A17A,6,Brown,All,Warm
06fd2c62-c03f-42ce-b0b7-de2b038d1b51,2026-01-25 12:24:27.124663+00,sh_blu_essence_the_blush_03,blu_essence_the_blush,Warm Tan,#D8A47F,3,Brown,All,Warm
076ac666-1204-48c9-90b1-30e623b3fbba,2026-01-25 12:24:27.124663+00,sh_lip_colourpop_lippie_stix_02,lip_colourpop_lippie_stix,Plum,#5A2A5A,2,Purple,All,Cool
078b00c2-3bc0-4511-b3f2-c964b9c4904f,2026-01-25 12:24:27.124663+00,sh_fnd_clinique_even_better_08,fnd_clinique_even_better,Porcelain,#F7E7DA,8,Nude,Fair,Cool
